id,content
1,悪の組織の秘密基地。食堂の一番人気デザートは？
2,宇宙人も思わず星へ帰った、地球人の第一声を教えて下さい。
3,犬がいつも地面のにおいをかいでいる理由を教えて下さい。
4,転校生のあだ名が「ゾンビくん」になった理由を教えて下さい。
5,いつもは温厚なおじいちゃんが、杖を振り回して激怒している理由とは。
6,可愛い男の子ね〜。いくつでちゅか？
7,見る気はなかったのに、ついクリックしてしまった動画のタイトルは？
8,子どもが鼻血を出す理由「第380位」はなに？
9,人工知能も答えられずに黙り込んでしまった質問を教えて下さい
10,特殊能力を持ったカエル。どんな能力？
11,全米が泣いた映画のタイトルを教えて下さい
12,絶対に使ってはいけない超強力魔法の効果を教えて下さい
13,SNSで知り合ってお付き合いした彼女と、3時間で破局。なぜ？
14,100年後の最新iPhoneに搭載された機能を教えて下さい
15,「あーこの家、事故物件だ」なぜそう思った？
16,ヒーローショーで子どもたちがドン引き。何が起きた？
17,「喧嘩最強」と恐れられた男の、唯一の弱点
18,誕生日プレゼントをもらった息子が大号泣！なぜ？
19,恐妻家あるある第7857位を教えて下さい
20,頭が痛い時に飲むのは頭痛薬。恋をした時に飲む薬は？
21,じゃがいもが恋をしました。恋愛相手は誰ですか？
22,窓拭き強豪校の練習風景
23,宇宙ステーションから地球を見た猿が一言
24,名探偵ゴリラのきめ台詞を教えて下さい。
25,日めくりカレンダーをめくって見たら思わずビックリ！なぜ？
26,フラッシュモブマニアの口ぐせ
27,「妻が夫に内緒でしていること」第8458位を教えて下さい
28,迷子のアナウンス。子どもの特徴を教えて下さい
29,父親にハリウッドから衝撃のオファー。何の役？
30,怖くて買う気が起きない、新発売のポテトチップスの名前を教えて下さい
31,不倫会見で飛び出したよくわからない質問
32,人気のない水族館が、まさかの方法で一躍大人気に。一体どんな方法？
33,天気予報が大はずれ、、、どうしてこんなに外れるの？
34,「2日目のカレーはおいしい」と言いますが17日目のカレーはどうなってる？
35,早食い強豪校の練習風景
36,世論の批判を受けて販売中止になったお弁当の中身
37,「赤ちゃんを泣き止ます方法」第876位を教えて下さい
38,お騒がせ女優K、今回は何をしたんですか？
39,平成生まれと令和生まれの決定的な違いを教えてください
40,校長先生の話はどうしてあんなに長いの？
41,竜田揚げの竜田って何なん？
42,迷惑メールより迷惑なメールってどんなメール？
43,キリンはどうしてあんなに首が長いの？
44,恵方巻きを正しい方角で食べないとどうなる？
45,2050年に誕生した新たなことわざを教えて下さい。
46,動物園から脱走したライオンが一言
47,こたつの新しい使い道を教えて下さい
48,日本の首都が鳥取県になったらありがちなこと
49,世界カレーパン早食い大会。優勝賞品を教えてください。
50,街中で見かける「WC」これ何の略？
51,「それ私のお墓の前で言うことか？」ということを言ってください
52,東京へ来たんですけど、お土産は何が良いですか？
53,湖の周辺を走り回っている小学生「〇〇〇〇〇」
54,テーマパークでずっと座っている2人組の会話「なあ、このあと何する？」「〇〇〇〇〇」
55,電車内で全力疾走している人「〇〇〇〇〇」
56,鬼に金棒的なことを教えてください。
57,お気に入りの洋服を突然投げ捨てた女の子が一言
58,道の真ん中でずっと座っている人が一言
59,野球部が歩道をふさぐようにして歩いている感動的な理由
60,あんなに巨大なドラゴンをどうやって倒したんですか？
61,パン1斤をくわえて全力疾走しているサラリーマン「〇〇〇〇〇」
62,疲れ切ったサンタクロース「〇〇〇〇〇」
63,「満員電車あるある」第876位
64,何でさっきからずっと笑っているんですか？
65,大食いチャンピオンが負けを確信して一言
66,予定より２時間早く到着。何をして時間を潰そうか……
67,隣の教室がなんだか騒がしい。ドアを開けたあなたが見た光景は？
68,上司が急にブチギレた理由を教えてください。
69,神様が私に与えた特殊能力を教えて下さい
70,少しイラッとすることがあった日には何をしますか？
71,お父さんの得意料理ランキング第487位を教えて下さい
72,お母さん型AIスピーカーあるある
73,地下アイドルあるある第1028位を教えて下さい
74,私だけタクシー料金がタダに！？なんで？
75,毎日21時になると聞こえる幽霊の声。なんて言ってる？
76,かっこいい男の条件を教えて下さい
77,200歳のお爺ちゃんの口癖
78,ハリウッドで話題の健康食品を教えて下さい
79,右手にいつもリンゴを持っているお坊さん。何で？
80,家に帰ると知らないお祖母ちゃんが。誰？
81,ことわざっぽい文章
82,2098年のオリンピックはどこで行われたんですか？
83,どうしてそんなにタバスコをかけているんですか？
84,いち早く金持ちになる方法
85,600階建てのビル。最上階には誰が住んでいるんですか？
86,トイレを我慢してるタクシードライバー「〇〇〇〇」
87,この空気清浄機、俺に喧嘩売ってるやろ。何をされた？
88,人の心の声が聞こえてしまう少女「〇〇〇〇」
89,「鬼は外、福は内」にもう1つ付け足してください。
90,会話中に「もしかして心を悟られている？」と感じた理由
91,「5G」とか言ってますけど、「8G」だと何ができるようになる？
92,見ざる、言わざる、聞かざる、最後の一匹は？
93,こんな小説読むか！！どんなタイトル？
94,部屋の間取りが2LDKP。いやPって何?
95,魔王あるある
96,闇の力あるある
97,墨汁ヒーロー「ブラックマン」の口ぐせを教えて下さい
98,車椅子から立ち上がったおばあちゃんが一言。
99,休日なのに静かな遊園地。なぜ？
100,深夜のコンビニあるある
101,世界を救った勇者に国王が一言
102,ラーメン屋の行列あるある
103,晴れてるのに何で長靴を履いているんですか？
104,深淵を覗いたら何が見えました？
105,中学生活で1番頑張ったことを教えて下さい
106,記者会見あるある
107,「それ嘘だよね？」ということを教えて下さい
108,探しものはなんですか？
